"idLU"	"name"	"senseDescription"
16491	experience.n	COD: knowledge or skill acquired over time
16492	experienced.a	COD: having knowledge or skill in a particular field gained over time
16493	master.a	COD: having or showing very great skill or proficiency
16494	mastery.n	COD: the mastering of a subject or skill
16495	connoisseur.n	FN: a person who is very discriminating, esp. with respect to art, food or drink
16496	familiar.a	COD: having a good knowledge of
16497	pro.n	COD: a professional
16498	ace.n	COD: a person who excels at a particular activity
16499	versed.a	COD: experienced or skilled in; knowledgeable about
16500	well-versed.a	FN: very experienced or skilled in 
16501	conversant.a	COD: familiar with or knowledgeable about something
16502	conversance.n	FN: familiarity with a domain of knowledge
16503	crack.a	COD: very good or skilful
16504	skilled.a	FN: having acquired master of or skill in something
16505	skilful.a	COD: having or showing skill
16506	ace.a	FN: excellent, esp. highly skilled or talented. (Usually not gradable.)
16507	wizard.n	COD: a person who is very skilled in a particular field or activity
16508	whiz.n	FN: a person who is extremly clever at something
16509	novice.n	COD: a person new to and inexperienced in a job or situation
16510	inexperienced.a	FN: lacking experience
16511	inexpert.a	COD: lacking skill or knowledge
16512	guru.n	FN: a person possessing great knowledge or expertise
16513	proficient.a	COD: competent; skilled. 
16514	proficiency.n	FN: the fact of being competent and skilled
16515	prowess.n	COD: skill or expertise in a particular activity or field. 
16516	virtuoso.n	COD: a person highly skilled in music or another artistic pursuit
16517	virtuosity.n	FN: great skill in music or another artistic pursuit
16518	adept.a	COD: very skilled or proficient. 
16519	adeptness.n	FN: the fact of being very skilled or proficient
16520	adept.n	COD: a person who is adept at something. 
16521	skill.n	COD: the ability to do something well; expertise or dexterity
16522	amateur.n	COD: a person considered inept at a particular activity
16523	amateur.a	COD: inept
16524	master.n	COD:  skilled practitioner of a particular art or activity
16525	incompetent.a	COD: not sufficiently skilful to do something successfully. 
16526	incompetence.n	FN: the quality of being incompetent
16527	competent.a	COD: having the necessary ability or knowledge to do something successfully. 
16528	competence.n	COD: the quality or extent of being competent. 
16529	inept.a	COD:  incompetent; awkward or clumsy. 
16530	ineptitude.n	FN: degree or fact of being inept
16531	ineptness.n	FN: fact of being inept.
16532	knowledgeable.a	FN: having knowledge of a particular topic.
16533	awful.a	FN: being very bad with regard to an activity or skill
16534	bad.a	FN: being poor with regard to an activity or skill
16535	wonderful.a	FN: having remarkable competence at an activity or with regard to a skill
16536	tremendous.a	FN: being extremely competent with regard to an activity or skill
16537	superb.a	COD: excellent
16538	stupendous.a	FN: being excellent at a skill or with regard to an activity
16539	so-so.a	FN: of average competence with regard to an activity or a skill
16540	mediocre.a	FN: of average skill
16541	incredible.a	FN: being exceptionally competent with regard to an activity or skill
16542	great.a	FN: being very adept with regard to an activity or skill
16543	good.a	FN: to have sufficient expertise with regard to an activity or a skill
16544	fantastic.a	FN: being outstanding at an activity or skill
16545	excellent.a	FN: extremely competent with regard to an activity or skill
16546	dreadful.a	FN: extremely bad
16547	terrible.a	FN: being extremely incompetent at an activity or with regard to a skill
16548	terrific.a	FN: being wonderfully competent at an activity or with regard to a skill
16549	superlative.a	FN: being the most competent at an activity or with regard to a skill
16550	outstanding.a	FN: being excellent with regard to an activity or skill
16551	splendid.a	FN: having excellent competence with regard to a skill or an activity
16552	know-how.n	COD: expertise
16553	specialist.n	COD: a person who concentrates on a particular subject or activity; a person highly skilled in a specific field.
16554	new (to).a	FN: inexperienced
16555	excel.v	COD: be exceptionally good at an activity or subject.
16556	strong.a	FN: exceptionally capable
16557	layman.n	FN: a person who is not an expert in a given field of knowledge
16558	lay.a	FN: Describing an entity' s inexpertise
16559	arson.n	COD: the criminal act of deliberately setting fire to property. 
16560	arsonist.n	FN: the criminal who deliberately set things on fire
16561	give.v	COD: freely transfer the possession of; cause to receive or have. 
16562	donate.v	COD: give (money or goods) for a good cause
16563	donation.n	COD: something that is given to a charity, especially a sum of money. 
16564	donor.n	COD: a person who donates something. 
16565	foist.v	COD: impose an unwelcome or unnecessary person or thing on. 
16566	endow.v	COD: give or bequeath an income or property to. 
16567	pass.v	COD:  transfer (something) to someone, especially by handing or bequeathing it to the next person in a series
16568	fob off.v	COD: give (something inferior) to. 
16569	give out.v	FN: give freely (to a large number of recipients).
16570	hand over.v	FN: hand to someone else
16571	hand out.v	COD: distribute something among a group of people
16572	gift.v	COD: give as a gift, especially formally. 
16573	gift.n	COD: a thing given willingly to someone without payment; a present. 
16574	pass out.v	FN: distribute something among a group
16575	bequeath.v	COD: leave (property) to a person or other beneficiary by a will. 
16576	treat.v	COD: provide someone with (food, drink, or entertainment) at one' s expense
16577	hand.v	COD: pick (something) up and give it to (someone). 
16578	hand in.v	FN: give to an authority in accordance with obligation
16579	contribute.v	COD: give in order to help achieve or provide something.
16580	contribution.n	FN: something that is given towards an effort or cause
16581	charity.n	FN: a gift to or the act of giving to another
16582	volunteer.v	FN: give something to a recipient in need
16583	will.v	FN: bequeath to someone according to one' s written will
16584	leave.v	FN: bequeath
16585	advance.v	FN: give earlier than scheduled
16586	confer (upon).v	FN: provide (something beneficial, us. a property); NB: only usable when some aspect of the situation (the entity conferred or the recipient) is abstract.
16587	bequest.n	FN: entity given by a deceased person upon their death.
16588	part.n	COD: a piece or segment of something which combined with others makes up the whole. 
16589	fragment.n	COD: a small part broken off or detached. 
16590	half.n	COD: either of two equal or corresponding parts into which something is or can be divided. 
16591	segment.n	COD: each of the parts into which something is or may be divided
16592	section.n	COD: any of the more or less distinct parts into which something is or may be divided or from which it is made up. 
16593	eighth.n	FN: one of eight parts.
16594	fifth.n	FN: one of five parts.
16595	hundredth.n	FN: one of one hundred parts.
16596	third.n	FN: one of three parts.
16597	quarter.n	FN: one of four parts.
16598	tenth.n	FN: one of ten parts.
16599	portion.n	COD: a part or a share.
16600	development.n	FN: the section of a piece of music where the major musical themes come together
16601	certain.a	COD: completely convinced of something
16602	uncertain.a	COD: not completely confident or sure
16603	confident.a	COD: feeling certainty about something
16604	sure.a	COD: completely confident that one is right
16605	confidence.n	FN: the feeling of certainty about something
16606	convinced.a	FN: very certain of something.
16607	positive.a	COD: with no possibility of doubt; certain
16608	dubious.a	COD: hesitating or doubting
16609	certainty.n	FN: the personal quality of being completely sure
16610	doubt.v	COD: feel uncertain about. 
16611	doubtful.a	COD: uncertain. 
16612	believe.v	COD: feel sure of the truth of. 
16613	uncertainty.n	FN: the state of being not completely confident or sure
16614	unsure.a	COD: lacking confidence
16615	doubt.n	COD:  feeling of uncertainty or lack of conviction
16616	trust.v	FN: hold a belief
16617	skeptical.a	FN: reserving judgement as to the truth of.
16618	skepticism.n	FN: a careful attitude of reserving judgement on the veractiy of. 
16619	skeptic.n	COD: a person inclined to question or doubt accepted opinions.
16620	know.v	FN: to hold a belief with confidence of its truth. Only in Certainty when there is contrastive stress on target; otherwise, belongs in Awareness.
16621	scrap.n	COD: a small piece or amount of something, especially one that is left over after the greater part has been used
16622	sliver.n	COD: a small, narrow, sharp piece cut or split off a larger piece
16623	shred.n	COD: often with neg. a very small amount
16624	snippet.n	COD: a small piece or brief extract
16625	hunk.n	COD: a large piece cut or broken from something larger
16626	chunk.n	COD: a thick, solid piece
16627	smidgen.n	COD: a tiny amount
16628	chip.n	COD: a small, thin piece removed in the course of chopping, cutting, or breaking a hard material
16629	shard.n	COD: a sharp piece of broken ceramic, metal, glass, etc. 
16630	morsel.n	COD: a small piece of food; a mouthful
16631	piece.n	COD: a portion of an object or of material produced by cutting, tearing, or breaking the whole. 
16632	slice.n	COD: a thin, broad piece of food cut from a larger portion. 
16633	lump.n	COD: a compact mass, especially one without a definite or regular shape. 
16634	flake.n	COD: a small, flat, very thin piece of something. 
16635	fragment.n	COD: a small part broken off or detached
16636	clump.n	COD: a compacted mass or lump of something. 
16637	clod.n	COD: a lump 
16638	board [computer].n	FN: A flat, manufactured silicon chip made for use in computers.
16639	top.n	COD: the highest or uppermost point, part, or surface. 
16640	bottom.n	COD: the lowest point, position, or part of something. 
16641	front.n	COD: the side or part of an object that presents itself to view or that is normally seen or used first.
16642	back.n	COD: 2a the side or part of something away from the spectator or from the direction in which it moves or faces
16643	side.n	COD: a position to the left or right of an object, place, or central point.
16644	underside.n	COD: the bottom or lower side or surface of something
16645	underbelly.n	FN: the vulnerable underside of a body or mass
16646	peak.n	COD: the pointed top of a mountain.
16647	back.a	COD: in the opposite direction from the one that one is facing or travelling towards. 
16648	top.a	FN: situated in the highest position or at the highest point or part of an object.
16649	bottom.a	COD: in the lowest position. 
16650	apex.n	COD: the top or highest part of something, especially one forming a point
16651	base.n	COD: the lowest part or edge of something, especially the part on which it rests or is supported. 
16652	tip.n	COD: the pointed or rounded extremity of something slender or tapering.
16653	rear.n	COD: the back or hindmost part of something. 
16654	foot.n	COD: the lower or lowest part of something vertical; the base or bottom. 
16655	face.n	COD: the surface of a thing, especially one that is presented to the view or has a particular function.
16656	hind.a	COD: attrib. (especially of a bodily part) situated at the back
16657	rear.a	COD: at the back.
16658	heart.n	COD: the central, innermost, or vital part of something.
16659	left.n	COD: the left-hand part, side, or direction. 
16660	left.a	COD: on, towards, or relating to the side of a human body or of a thing which is to the west when the person or thing is facing north. 
16661	right.a	COD: on, towards, or relating to the side of a human body or of a thing which is to the east when the person or thing is facing north. 
16662	right.n	COD: the right-hand part, side, or direction. 
16663	crest.n	COD: the top of a ridge, wave, etc. 
16664	summit.n	FN: the highest point of a location (other than a mountain)
16665	east.a	COD: lying towards, near, or facing the east. 
16666	west.a	COD: lying towards, near, or facing the west. 
16667	north.a	COD: lying towards, near, or facing the north
16668	south.a	COD: lying towards, near, or facing the south. 
16669	southern.a	COD: situated, directed towards, or facing the south. 
16670	northern.a	COD: situated in, directed towards, or facing the north. 
16671	northernmost.a	FN: situated in the most northern position or direction
16672	southernmost.a	FN: situated in the most southern position or direction
16673	eastern.a	COD: situated in, directed towards, or facing the east. 
16674	easternmost.a	FN: situated in the most eastern position or direction
16675	western.a	COD: situated in, directed towards, or facing the west. 
16676	westernmost.a	FN: situated in the most western position or direction
16677	north.n	COD: the northern part of a country, region, or town. 
16678	south.n	COD: the southern part of a country, region, or town. 
16679	west.n	COD: the west of a country, region, or town. 
16680	east.n	COD: the eastern part of a country, region, or town. 
16681	northwest.n	COD: the north-western part of a country, region, or town.
16682	north-south.n	FN: between the northern and the southern parts.
16683	front.a	FN: of or at the part of an object that is normally seen or used first
16684	stop.v	FN: cause to come to an end. 
16685	discontinue.v	COD: stop doing, providing, or making. 
16686	desist.v	FN: to cease an action
16687	quit.v	COD: stop or discontinue. 
16688	cease.v	COD: come or bring to an end; stop. 
16689	cessation.n	COD: the fact or process of ceasing. 
16690	discontinuation.n	FN: the act or instance of stopping (a process, creation, act)
16691	halt.n	FN: stop
16692	shutdown.n	FN: the halting of a process (note: that the locale at which the process takes place may be used instead of the process proper) 
16693	kill.v	FN: to end a process prematurely
16694	shut down.v	FN: halting a process.
16695	continue.v	COD: remain in existence, operation, or a specified state.
16696	ongoing.a	COD: continuing; still in progress. 
16697	persist.v	COD: continue to exist. 
16698	drag on.v	FN: continue longer than expected or desired.
16699	go on.v	FN: to continue, progress
16700	persistence.n	FN: continued existence (generally with of)
16701	proceed.v	FN: (of a process) carry on or continue
16702	underway.a	COD: currently in progress.
16703	on.adv	FN: indicating continuation of a process
16704	start.v	COD: begin to do. 
16705	begin.v	COD: perform or undergo the first part of (an action or activity). 
16706	take up.v	FN: begin to hold or fulfil a position or post.
16707	beginner.n	FN: performer of the first part of an activity
16708	neophyte.n	COD: a person who is new to a subject, skill, or belief.
16709	enter.v	COD: begin to be involved in
16710	swing (into).v	FN: start (a very active, vigorous activity) in response (to something).
16711	initiate.v	COD: cause (a process or action) to begin.
16712	commence.v	COD: begin. 
16713	launch (into).v	FN: begin an activity energetically and enthusiastically
16714	strike up.v	FN: to start an activity (usually social or communicative) suddenly 
16715	open.v	"FN: begin an attack (esp. with ""fire"")."
16716	set about.v	FN: vigorously start on or towards (a complex or demanding goal).
16717	get started.v	FN: begin (a preliminary part or the very first part of a task)
16718	kilo.n	COD: a kilogram
16719	kilogram.n	COD: the SI unit of mass, equal to 1,000 grams (approximately 2.205 lb) and equivalent to the international standard kept at Sevres near Paris
16720	gram.n	COD: a metric unit of mass equal to one thousandth of a kilogram
16721	ton.n	COD: a unit of weight equal to 2,000 lb avoirdupois (907.19 kg)
16722	pound.n	COD: a unit of weight equal to 16 oz avoirdupois (0.4536 kg), or 12 oz troy (0.3732 kg)
16723	ounce.n	COD: a unit of weight of one sixteenth of a pound avoirdupois (approximately 28 grams)
16724	milligram.n	COD: also milligramme abbrev.: mg [Measure] n
16725	metric ton.n	COD: a unit of weight equal to 1,000 kilograms (2,205 lb).
16726	resume.v	COD: begin again or continue after a pause or interruption. NB:  The action is not usually resumed at the beginning with this verb, but rather at the point in the Ongoing process where it was interrupted.
16727	restart.v	FN: to resume to take place
16728	inch.n	COD: a unit of linear measure equal to one twelfth of a foot (2.54 cm)
16729	mile.n	COD: a unit of linear measure equal to 1,760 yards (approximately 1.609 kilometres). 
16730	yard.n	COD: a unit of linear measure equal to 3 feet (0.9144 metre).
16731	foot.n	COD: a unit of linear measure equal to 12 inches (30.48 cm). 
16732	meter.n	COD: the fundamental unit of length in the metric system, equal to 100 centimetres (approx. 39.37 inches). 
16733	kilometer.n	COD: a metric unit of measurement equal to 1,000 metres (approximately 0.62 miles). 
16734	centimeter.n	COD: a metric unit of length equal to one hundredth of a metre
16735	millimeter.n	COD:  one thousandth of a metre (0.039 in.)
16736	furlong.n	COD: an eighth of a mile, 220 yards.
16737	light-year.n	COD: a unit of distance equivalent to the distance that light travels in one year, 9.4607E12 km (nearly 6 million million miles).
16738	block.n	FN: one city street length
16739	pint.n	COD: a unit of liquid or dry capacity equal to one eighth of a gallon, in Britain equal to 0.568 litre and in the US equal to 0.473 litre (for liquid measure) or 0.551 litre (for dry measure).
16740	cup.n	COD: chiefly N. Amer. a measure of capacity used in cookery, equal to half a US pint (0.237 litre)
16741	bottle.n	FN: the volume of a container with a narrow neck, used for storing liquids
16742	bushel.n	COD: a measure of capacity equal to 8 gallons (equivalent to 36.4 litre), or in the US a measure of capacity equal to 64 US pints (equivalent to 35.2 litres).
16743	box.n	FN: the volume of a container with a flat base and sides
16744	glass.n	FN: the volume contained in a drinking container made of glass
16745	gallon.n	COD: unit of volume for liquid measure equal to eight pints: in Britain also imperial gallon, equivalent to 4.55 litres; in the US, equivalent to 3.79 litres. 
16746	barrel.n	COD: a measure of capacity for oil and beer, equal to 36 imperial gallons for beer and 35 imperial gallons or 42 US gallons (roughly 192 litres) for oil
16747	pack.n	COD: a cardboard or paper container and the items contained within it
16748	bowl.n	FN: the volume contained by a round, deep dish or basin
16749	teaspoon.n	COD:  the amount held by a teaspoon, in the UK considered to be 5 millilitres when used as a measurement in cookery
16750	jug.n	FN: volume contained by a large container for liquids, with a narrow mouth
16751	spoon.n	FN: the volume or amount held by an implement consisting of a small, shallow oval or round bowl on a long handle, used for eating, stirring, and serving food
16752	tablespoon.n	FN: the amount held by a tablespoon, in the UK considered to be 15 millilitres when used as a measurement in cookery
16753	bag.n	FN: the volume contained by a flexible container with an opening at the top
16754	quart.n	COD: a unit of liquid capacity equal to a quarter of a gallon or two pints, equivalent in Britain to approximately 1.13 litres and in US to approximately 0.94 litre.
16755	spoonful.n	FN: the volume contained in a spoon
16756	teaspoonful.n	FN: the volume contained in a teaspoon
16757	bagful.n	FN: the volume contained by a bag
16758	boxful.n	FN: the volume contained by a box
16759	bucketful.n	FN: the volume contained by a bucket
16760	tankful.n	FN: the volume contained by a tank
16761	sackful.n	FN: the volume or amount contained by a sack
16762	packet.n	FN: the amount contained in a paper or cardboard container
16763	mug.n	FN: the amount of contents of a large cup, typically cylindrical and with a handle and used without a saucer
16764	scoop.n	FN: the volume or amount contained in a utensil resembling a spoon, having a short handle and a deep bowl, used for extracting liquids or substances from a container
16765	scoopful.n	FN: the volume contained in a scoop
16766	platter.n	FN: a selection of food placed on a platter
16767	tray.n	FN: the contents of a flat, shallow container with a raised rim, typically used for carrying or holding.
16768	busload.n	FN: a load that fills a bus
16769	planeload.n	FN: a load that fills a plane
16770	truckload.n	FN: a load that fills a truck
16771	carload.n	FN: a load that fills a car
16772	roomful.n	FN: the volume or amount a room will hold
16773	trainload.n	FN: the size of load that fills a train
16774	boatload.n	FN: a load that fills a boat.
16775	litre.n	COD: a metric unit of capacity, formerly the volume of one kilogram of water under standard conditions, now equal to 1,000 cubic centimetres (about 1.75 pints)
16776	can.n	FN: the volume contained in a can
16777	case.n	FN: boxful, amount contained in one carton or box
16778	hectare.n	COD: a metric unit of square measure, equal to 10,000 square metres (2.471 acres)
16779	acre.n	COD: a unit of land area equal to 4,840 square yards (0.405 hectare)
16780	lanky.a	COD: .-ier, -iest ungracefully thin and tall. 
16781	chubby.a	COD: plump and rounded. 
16782	flabby.a	COD:   soft, loose, and fleshy.
16783	corpulent.a	COD:  (of a person) fat. 
16784	obese.a	COD:  grossly fat or overweight. 
16785	portly.a	COD: -ier, -iest  (especially of a man) rather fat. 
16786	svelte.a	COD:  slender and elegant. 
16787	stocky.a	COD: -ier, -iest (especially of a person) short and sturdy. 
16788	dumpy.a	COD: .-ier, -iest short and stout. 
16789	gaunt.a	COD: lean and haggard, especially through suffering, hunger, or age. 
16790	skinny.a	COD:  -ier, -iest (of a person) unattractively thin. 
16791	beefy.a	FN: stocky, muscular of build
16792	short.a	COD: (of a person) small in height. 
16793	brawny.a	FN: (of a person) phsycially strong and large
16794	paunchy.a	FN: (of a person) overweight, especially with a large stomach
16795	fat.a	COD:  (of a person or animal) having much excess fat; corpulent. 
16796	thin.a	COD:  having little flesh or fat on the body. 
16797	spindly.a	COD:  long or tall and thin. 
16798	slim.a	COD:  gracefully thin; slenderly built. 
16799	slender.a	COD:  gracefully thin
16800	puny.a	COD: small and weak
16801	scrawny.a	COD:  -ier, -iest unattractively thin and bony. 
16802	heavy-set.a	FN: overweight
16803	stout.a	COD: rather fat or heavily built. 
16804	stubby.a	COD: -ier, -iest short and thick. 
16805	tall.a	FN: of more than average height. 
16806	muscular.a	COD: having well-developed muscles. 
16807	lean.a	COD:  (of a person) thin, especially healthily so
16808	angular.a	COD: (of a person) lean and having a prominent bone structure. 
16809	bony.a	COD:  so thin that the bones can be seen. 
16810	rangy.a	COD:  (of a person) tall and slim; long-limbed. 
16811	squat.a	COD: short or low, and disproportionately broad or wide. 
16812	thickset.a	COD: (of a person or animal) heavily or solidly built; stocky. 
16813	lithe.a	COD: slim, supple, and graceful. 
16814	plump.a	COD: rather fat. 
16815	pudgy.a	COD: informal rather fat. 
16816	wiry.a	COD: lean, tough, and sinewy. 
16817	hefty.a	COD: large, heavy, and powerful. 
16818	medium-build.a	FN: of average height and weight
16819	big-boned.a	FN: large of frame (euphemism for fat)
16820	male.a	COD: of the sex that can beget offspring by fertilization or insemination; masculine
16821	female.a	COD: of the sex that can bear offspring or produce eggs; feminine
16822	regalia.n	COD: the insignia of royalty, especially the crown and other ornaments used at a coronation. 
16823	anklet.n	COD: an ornament worn round an ankle. 
16824	ring.n	COD: a small circular band, typically of precious metal, worn on a finger as an ornament or as a token of marriage or engagement. [Jewellery] 
16825	earring.n	COD: a piece of jewellery worn on the lobe or edge of the ear. 
16826	jewellery.n	COD: mass noun personal ornaments, such as necklaces, rings, or bracelets, that are made from or contain jewels and precious metal. 
16827	necklace.n	COD: an ornamental chain or string of beads, jewels, or links worn round the neck.
16828	bangle.n	COD: a rigid ornamental band worn around the arm. 
16829	bracelet.n	COD: an ornamental band or chain worn on the wrist or arm. [Jewellery] 
16830	coronet.n	FN: a small crown, sometimes of flowers, used for decorating the head
16831	crown.n	COD: a circular ornamental headdress worn by a monarch as a symbol of authority. 
16832	brooch.n	COD: an ornament fastened to clothing with a hinged pin and catch. 
16833	tiara.n	COD: a.a jewelled ornamental band worn on the front of a woman' s hair
16834	circlet.n	COD: an ornamental circular band worn on the head. 
16835	diadem.n	COD: a jewelled crown or headband worn as a symbol of sovereignty. 
16836	chain.n	COD: a connected flexible series of metal links used for fastening, pulling, etc., or in jewellery. 
16837	locket.n	COD: a small ornamental case worn round a person' s neck on a chain and used to hold things of sentimental value. 
16838	pendant.n	COD: a piece of jewellery that hangs from a necklace chain.
16839	wig.n	COD: a covering for the head made of real or artificial hair. 
16840	toupee.n	COD: a small wig or artificial hairpiece worn to cover a bald spot. 
16841	cufflink.n	COD: a device for fastening together the sides of a shirt cuff, passed through a hole in each side of the cuff.
16842	glasses.n	COD: a pair of lenses set in a frame that rests on the nose and ears, used to correct or assist defective eyesight. 
16843	spectacles.n	COD: Brit. a pair of glasses. 
16844	hat.n	COD: a shaped covering for the head, typically with a brim and a crown. 
16845	hat-pin.n	COD: a long pin used to hold a woman' s hat in position.  (listed as hatpin)
16846	cap.n	COD: a soft, flat hat without a brim and usually with a peak. 
16847	bonnet.n	COD: a woman' s or child' s hat tied under the chin and with a brim framing the face. 
16848	mask.n	COD: a covering for all or part of the face, worn as a disguise, for protection or hygiene, or for theatrical effect. 
16849	bandanna.n	COD: a large coloured handkerchief or neckerchief. 
16850	headband.n	COD: a band of fabric worn around the head as a decoration or to keep the hair of
16851	hairpiece.n	COD: a patch or bunch of false hair used to augment a person' s natural hair. 
16852	fez.n	COD: pl. fezzes a flat-topped conical red hat with a black tassel on top, worn by men in some Muslim countries. 
16853	skullcap.n	COD: a small close-fitting peakless cap or protective helmet. 
16854	top-hat.n	COD: a man' s formal hat with a high cylindrical crown.  (listed as top hat)
16855	accoutrement.n	COD: an additional item of dress or equipment. 
16856	yarmulkah.n	COD: a skullcap worn in public by Orthodox Jewish men or during prayer by other Jewish men.  (listed as yarmulke)
16857	balaclava.n	COD: a close-fitting woollen hat covering the whole head and encircling the neck. 
16858	beret.n	COD: a round flattish cap of felt or cloth. 
16859	biretta.n	COD: a square cap with three flat projections on top, worn by Roman Catholic clergymen.
16860	boater.n	COD: a flat-topped hardened straw hat with a brim. orig. worn while boating.
16861	bowler.n	COD: a man' s hard felt hat with a round dome-shaped crown. 
16862	nightcap.n	COD: historical a cap worn in bed. 
16863	panama.n	COD: a man' s wide-brimmed hat of straw-like material, originally made from the leaves of a tropical palm tree. 
16864	sombrero.n	COD: .pl. -os a broad-brimmed felt or straw hat, typically worn in Mexico and the south-western US. 
16865	trilby.n	COD: pl. -ies chiefly Brit. a soft felt hat with a narrow brim and indented crown. 
16866	turban.n	COD: a man' s headdress, consisting of a long length of material wound round a cap or the head, worn especially by Muslims and Sikhs.
16867	shako.n	COD: a cylindrical or conical military hat with a peak and a plume or pompom. 
16868	veil.n	COD: a piece of fine material worn to protect or conceal the face
16869	headdress.n	COD: an ornamental covering for the head, especially one worn on ceremonial occasions. 
16870	headpiece.n	COD: a device worn on the head. 
16871	belt.n	COD: a strip of leather or other material worn around the waist to support or hold in clothes or to carry weapons.
16872	trinket.n	COD: a small ornament or item of jewellery that is of little value. 
16873	choker.n	COD: a close-fitting necklace or ornamental neckband. 
16874	sporran.n	COD: a small pouch worn around the waist so as to hang in front of the kilt as part of men' s Scottish Highland dress. 
16875	snood.n	COD: an ornamental hairnet or pouch worn over the hair at the back of a woman' s head. 
16876	hairnet.n	COD: a fine mesh for confining the hair. 
16877	hairslide.n	COD: Brit. a clip for keeping a woman' s hair in position. 
16878	hairpin.n	COD: a U-shaped pin for fastening the hair. 
16879	hairband.n	COD: a band for securing or tying back one' s hair.
16880	hairgrip.n	COD: Brit. a flat hairpin with the ends close together. 
16881	sash.n	COD: a long strip or loop of cloth worn over one shoulder or round the waist. 
16882	watch.n	COD: a small timepiece worn typically on a strap on one' s wrist. 
16883	medal.n	COD: a metal disc with an inscription or design, awarded to acknowledge distinctive achievement or made to commemorate an event. 
16884	medallion.n	COD: a piece of jewellery in the shape of a medal, worn as a pendant. 
16885	ribbon.n	COD: a long, narrow strip of fabric, used for tying something or for decoration. 
16886	badge.n	COD: a small piece of metal, plastic, or cloth bearing a design or words, typically worn to identify a person or to indicate support for a cause. 
16887	armband.n	COD: a band worn around the upper arm to hold up a shirtsleeve or as a form of identification. 
16888	armlet.n	COD: a bracelet worn round the upper arm. 
16889	goggles.n	COD: close-fitting protective glasses with side shields. 
16890	mitre.n	COD: a tall headdress worn by bishops and senior abbots, tapering to a point at front and back with a deep cleft between. [Eccl] 
16891	helm.n	FN: a helmet.
16892	helmet.n	COD: a hard or padded protective hat. 
16893	gorget.n	COD: an article of clothing or piece of armour covering the throat
16894	greaves.n	COD: historical a piece of armour for the shin. [MilHist]  (listed as greave)
16895	coif.n	FN: a close-fitting cap, currently made of cloth, but formerly made of  metal and worn under armour for protection
16896	hauberk.n	COD: historical a full-length coat of mail. 
16897	mantle.n	FN: a loose sleeveless cloak or shawl.
16898	gas mask.n	COD: a protective mask used to cover the face as a defence against poison gas.
16899	bathe.v	COD: wash by immersing one' s body in water
16900	wash.v	COD: clean with water and, typically, soap or detergent. 
16901	lave.v	COD: wash or wash over. 
16902	shower.v	COD: wash oneself in a shower. 
16903	pluck.v	COD: pull some of the hairs from (one' s eyebrows) to make them look neater
16904	floss.v	"COD: clean between (one' s teeth) with dental floss. ""I flossed my teeth."""
16905	shave.v	COD: cut the hair off (a person or part of the body) with a razor.
16906	wax.v	COD: remove hair from (a part of the body) by applying wax and then peeling it off with the hairs. 
16907	comb.v	FN: draw a comb through (hair)
16908	shampoo.v	FN: wash or clean with shampoo
16909	manicure.v	COD: give a manicure to. 
16910	pedicure.n	COD: a cosmetic treatment of the feet and toenails
16911	ablution.n	COD: formal &or. humorous an act of washing. 
16912	moisturize.v	COD: with obj. make (something, especially the skin) less dry
16913	soap.v	COD: wash with soap
16914	cleanse.v	FN: clean thoroughly
16915	facial.n	COD: a beauty treatment for the face
16916	manicure.n	COD: a cosmetic treatment of the hands and nails. 
16917	groom.v	COD: give a neat and tidy appearance to
16918	brush [teeth].v	FN: polish one' s teeth
16919	brush [hair].v	FN: run a brush through one' s hair in order to smooth, remove tangles, or arrange
16920	plait.v	COD: form into a plait or plaits.
16921	file.v	FN: smoothe down (especially nails).
16922	naked.a	COD: without clothes.
16923	nude.a	COD: wearing no clothes. 
16924	unclad.a	COD: unclothed; naked. 
16925	unshod.a	COD: wearing no shoes.
16926	shoeless.a	FN: wearing no shoes.
16927	sockless.a	FN: wearing no socks.
16928	nakedness.n	FN: the state of being naked.
16929	nudity.n	FN: the state of being nude.
16930	clad.a	COD: clothed. 
16931	clothed.a	FN: wearing clothes
16932	wear.v	COD: with obj. have on one' s body or a part of one' s body as clothing, decoration, or protection. 
16933	dressed.a	FN: wearing clothes
16934	barefoot.a	COD: wearing nothing on the feet
16935	bare.a	COD: (of a person or part of the body) not clothed or covered. 
16936	bare.v	COD: with obj. uncover (a part of the body) and expose it to view. 
16937	bareheaded.a	COD:  without a covering for one' s head. 
16938	barelegged.a	FN: without a covering for one' s legs
16939	bare-chested.a	FN: without a covering for one' s chest. 
16940	hatless.a	FN: wearing no hat.
16941	coatless.a	FN: wearing no coat.
16942	shirtless.a	FN: wearing no shirt
16943	barefooted.a	FN: wearing nothing on the feet.
16944	undressed.a	COD: wearing no clothes; naked. 
16945	topless.a	COD:  having or leaving the breasts uncovered. 
16946	masked.a	FN: wearing a mask
16947	hooded.a	COD: having or wearing a hood. 
16948	undress.n	COD: the state of being naked or only partially clothed. 
16949	costumed.a	FN: wearing a costume
16950	garbed.a	FN: wearing garb
16951	unclothed.a	FN: without clothes
16952	bare-armed.a	FN: wearing no clothing on the arms.
16953	bare-breasted.a	FN: without clothing over one' s breasts
16954	hatted.a	FN: wearing a hat.
16955	braless.a	FN: without a bra
16956	robed.a	FN: wearing a robe
16957	attired.a	FN: wearing attire
16958	gloved.a	FN: wearing a glove/gloves.
16959	gloveless.a	FN: without a glove/gloves.
16960	have on.v	FN: wear
